y_pos,motion,speed,spown_num,interval,spown_pos_x,spown_pos_y,shot_time
2980,0,0,0,0,0,0,0
2960,0,0,0,0,,,
2940,0,0,0,0,,,
2920,0,0,0,0,,,
2900,2,3,5,0,800,300,100
2880,0,0,0,0,,,
2860,0,0,0,0,,,
2840,3,3,10,0,600,-50,500
2820,3,3,10,0,600,-50,500
2800,2,3,5,0,800,300,100
2780,0,0,0,0,,,
2760,0,0,0,0,,,
2740,0,0,0,0,,,
2720,0,0,0,0,0,0,0
2700,2,3,5,0,800,300,100
2680,0,0,0,0,,,
2660,0,0,0,0,,,
2640,0,0,0,0,0,0,0
2620,0,0,0,0,,,
2600,1,3,5,10,0,50,100
2580,0,0,0,0,,,
2560,0,0,0,0,,,
2540,3,3,10,0,600,-50,500
2520,1,3,5,10,0,50,100
2500,0,0,0,0,,,
2480,0,0,0,0,,,
2460,0,0,0,0,,,
2440,0,0,0,0,,,
2420,0,0,0,0,,,
2400,1,3,5,10,0,50,100
2380,0,0,0,0,,,
2360,0,0,0,0,,,
2340,3,3,10,0,600,-50,500
2320,0,0,0,0,,,
2300,2,3,5,0,800,300,100
2280,0,0,0,0,,,
2260,0,0,0,0,,,
2240,0,0,0,0,,,
2220,0,0,0,0,,,
2200,2,3,5,0,800,300,100
2180,0,0,0,0,,,
2160,0,0,0,0,,,
2140,0,0,0,0,,,
2120,0,0,0,0,0,0,0
2100,2,3,5,0,800,300,100
2080,0,0,0,0,,,
2060,3,3,10,0,600,-50,500
2040,0,0,0,0,0,0,0
2020,0,0,0,0,,,
2000,1,3,5,10,0,50,100
1980,0,0,0,0,,,
1960,0,0,0,0,,,
1940,0,0,0,0,,,
1920,1,3,5,10,0,50,100
1900,0,0,0,0,,,
1880,0,0,0,0,,,
1860,0,0,0,0,,,
1840,3,3,10,0,600,-50,500
1820,0,0,0,0,,,
1800,1,3,5,10,0,50,100
1780,0,0,0,0,,,
1760,0,0,0,0,,,
1740,0,0,0,0,,,
1720,0,0,0,0,,,
1700,2,3,5,0,800,300,100
1680,0,0,0,0,,,
1660,0,0,0,0,,,
1640,0,0,0,0,,,
1620,0,0,0,0,,,
1600,2,3,5,0,800,300,100
1580,0,0,0,0,,,
1560,0,0,0,0,,,
1540,0,0,0,0,,,
1520,3,3,10,0,600,-50,500
1500,2,3,5,0,800,300,100
1480,0,0,0,0,,,
1460,0,0,0,0,,,
1440,0,0,0,0,0,0,0
1420,0,0,0,0,,,
1400,1,3,5,10,0,50,100
1380,0,0,0,0,,,
1360,0,0,0,0,,,
1340,0,0,0,0,,,
1320,1,3,5,10,0,50,100
1300,0,0,0,0,,,
1280,0,0,0,0,,,
1260,0,0,0,0,,,
1240,0,0,0,0,,,
1220,0,0,0,0,,,
1200,1,3,5,10,0,50,100
1180,0,0,0,0,,,
1160,3,3,10,0,600,-50,500
1140,0,0,0,0,,,
1120,0,0,0,0,,,
1100,2,3,5,0,800,300,100
1080,0,0,0,0,,,
1060,0,0,0,0,,,
1040,0,0,0,0,,,
1020,0,0,0,0,,,
1000,2,3,5,0,800,300,100
980,0,0,0,0,,,
960,0,0,0,0,,,
940,0,0,0,0,,,
920,0,0,0,0,0,0,0
900,2,3,5,0,800,300,100
880,0,0,0,0,,,
860,0,0,0,0,,,
840,0,0,0,0,0,0,0
820,0,0,0,0,,,
800,1,3,5,10,0,50,100
780,0,0,0,0,,,
760,3,3,10,0,600,-50,500
740,0,0,0,0,,,
720,1,3,5,10,0,50,100
700,0,0,0,0,,,
680,0,0,0,0,,,
660,0,0,0,0,,,
640,0,0,0,0,,,
620,0,0,0,0,,,
600,1,3,5,10,0,50,100
580,0,0,0,0,,,
560,0,0,0,0,,,
540,0,0,0,0,,,
520,0,0,0,0,,,
500,2,3,5,0,800,300,100
480,0,0,0,0,,,
460,3,3,10,0,600,-50,500
440,0,0,0,0,,,
420,0,0,0,0,,,
400,2,3,5,0,800,300,100
380,0,0,0,0,,,
360,0,0,0,0,,,
340,0,0,0,0,,,
320,0,0,0,0,0,0,0
300,2,3,5,0,800,300,100
280,0,0,0,0,,,
260,0,0,0,0,,,
240,0,0,0,0,0,0,0
220,0,0,0,0,,,
200,1,3,5,10,0,50,100
180,3,3,10,0,600,-50,500
160,0,0,0,0,,,
140,0,0,0,0,,,
120,1,3,5,10,0,50,100
100,0,0,0,0,,,
80,0,0,0,0,,,
60,0,0,0,0,,,
40,0,0,0,0,,,
20,0,0,0,0,,,
0,1,3,5,10,0,50,100
